EXP_NAME,EXPERIMENTER,MODEL_FAMILY,SEED,N_FOLDS,FEATURE_MODE,SCALER_TYPE,USE_PCA,PCA_N_COMPONENTS,IMBALANCE_MODE,train_size,cv_f1_macro_mean,cv_f1_macro_std,public_lb_f1_macro,private_lb_f1_macro,train_time_sec,submission_file,notes,colsample_bytree,eval_metric,gamma,learning_rate,max_depth,min_child_weight,n_estimators,n_jobs,objective,random_state,reg_alpha,reg_lambda,subsample,tree_method,use_label_encoder
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,64,balanced,1530,0.5817656822810637,0.04883840584967086,,,17.64230251312256,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,64,scale_pos_weight,1530,0.5817656822810637,0.04883840584967086,,,18.674267053604126,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,64,is_unbalance,1530,0.5817656822810637,0.04883840584967086,,,16.326974868774414,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,64,balanced,1530,0.5817656822810637,0.04883840584967086,,,21.38823676109314,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,64,balanced,1530,0.5817656822810637,0.04883840584967086,,,16.341780185699463,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,64,balanced,1530,0.5817656822810637,0.04883840584967086,,,17.426764726638794,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,64,balanced,1530,0.5817656822810637,0.04883840584967086,,,15.781677007675171,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,64,balanced,1530,0.5817656822810637,0.04883840584967086,,,16.080656051635742,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,64,balanced,1530,0.5744850158276521,0.046763106231582405,,,22.672141313552856,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,600,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,64,balanced,1530,0.5793481000214377,0.04200516939757176,,,25.825400352478027,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,450,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,64,balanced,1530,0.582030540256341,0.025836200220310298,,,10.294847011566162,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.1,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.3,hist,False
